naver,배낭 문제,1,18.0
naver,시뮬레이션,1,10.0
naver,트라이,1,18.0
naver,애드 혹,1,11.0
naver,임의 정밀도,1,16.0
naver,게임 이론,1,8.0
naver,세그먼트 트리,1,18.0
naver,최소 공통 조상,1,13.0
naver,에라토스테네스의 체,1,13.0
naver,해시를 사용한 집합과 맵,1,13.0
naver,큰 수 연산,1,16.0
samsung,구현,45,12.422222222222222
samsung,시뮬레이션,36,12.777777777777779
samsung,브루트포스 알고리즘,19,11.0
samsung,그래프 이론,13,12.461538461538462
samsung,그래프 탐색,11,12.363636363636363
samsung,너비 우선 탐색,11,12.363636363636363
samsung,백트래킹,8,10.875
samsung,깊이 우선 탐색,5,12.2
samsung,자료 구조,2,13.0
samsung,다이나믹 프로그래밍,2,11.0
samsung,최소 스패닝 트리,1,11.0
samsung,사칙연산,1,4.0
samsung,큐,1,14.0
samsung,정렬,1,12.0
samsung,비트마스킹,1,14.0
samsung,수학,1,4.0
samsung,스택,1,12.0
samsung,덱,1,14.0
